SK_ID_PREV,SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,RATE_DOWN_PAYMENT,RATE_INTEREST_PRIMARY,RATE_INTEREST_PRIVILEGED,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_TYPE_SUITE,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL
1044104,358675,Cash loans,NA,0,0,NA,NA,FRIDAY,16,Y,1,NA,NA,NA,XNA,Canceled,-169,XNA,XAP,NA,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,NA,XNA,Cash,NA,NA,NA,NA,NA,NA
1228470,344960,Cash loans,16015.86,378000,378000,NA,378000,SUNDAY,12,Y,1,NA,NA,NA,XNA,Refused,-474,XNA,HC,NA,Repeater,XNA,Cash,x-sell,Contact center,-1,XNA,36,low_normal,Cash X-Sell: low,NA,NA,NA,NA,NA,NA
1212786,208259,Consumer loans,6190.965,30141,31635,0,30141,THURSDAY,20,Y,1,0,NA,NA,XAP,Approved,-2226,Cash through the bank,XAP,Unaccompanied,Repeater,Photo / Cinema Equipment,POS,XNA,Country-wide,1500,Consumer electronics,6,high,POS household with interest,365243,-2195,-2045,-2045,-2041,0
2750575,293651,Cash loans,12598.2,67500,67500,NA,67500,WEDNESDAY,9,Y,1,NA,NA,NA,XNA,Approved,-486,Cash through the bank,XAP,NA,Repeater,XNA,Cash,x-sell,Country-wide,60,Furniture,6,middle,Cash X-Sell: middle,365243,-456,-306,-306,-300,0
2188643,251267,Cash loans,16591.5,135000,135000,0,135000,SATURDAY,20,Y,1,0,NA,NA,XNA,Approved,-2799,XNA,XAP,NA,Refreshed,XNA,Cash,x-sell,Country-wide,-1,Consumer electronics,10,middle,Cash Street: middle,365243,-2769,-2499,-2499,-2490,0
2337373,394154,Consumer loans,39423.15,3015000,1035000,1980000,3015000,SATURDAY,9,Y,1,0.7152238805970146,NA,NA,XAP,Refused,-789,Cash through the bank,VERIF,NA,New,XNA,Cars,XNA,Car dealer,329,Industry,36,low_normal,POS industry with interest,NA,NA,NA,NA,NA,NA
1169959,365865,Cash loans,NA,0,0,NA,NA,WEDNESDAY,9,Y,1,NA,NA,NA,XNA,Refused,-245,XNA,HC,NA,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,NA,XNA,Cash,NA,NA,NA,NA,NA,NA
2405817,158643,Cash loans,NA,0,0,NA,NA,FRIDAY,20,Y,1,NA,NA,NA,XNA,Canceled,-283,XNA,XAP,NA,Repeater,XNA,XNA,XNA,Contact center,-1,XNA,NA,XNA,Cash,NA,NA,NA,NA,NA,NA
1101830,447361,Consumer loans,6290.73,55386,55386,0,55386,MONDAY,18,Y,1,0,NA,NA,XAP,Approved,-21,Cash through the bank,XAP,NA,Repeater,Mobile,POS,XNA,Country-wide,25,Connectivity,10,low_normal,POS mobile without interest,365243,365243,282,365243,365243,0
2176627,106729,Cash loans,NA,0,0,NA,NA,MONDAY,6,Y,1,NA,NA,NA,XNA,Canceled,-381,XNA,XAP,NA,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,NA,XNA,Cash,NA,NA,NA,NA,NA,NA
